code1c,nomen,mdmcodenomen
"0000085885","Двутавр 25Б1 (ГОСТ/СТО)","043-00022-0555"
"0000085886","Двутавр 30Б1 (ГОСТ/СТО)","043-00058-0555"
"0000085887","Двутавр 30Б2 (ГОСТ/СТО)","043-00045-0555"
"0000085888","Двутавр 35Б1 (ГОСТ/СТО)","043-00009-0555"
"0000085889","Двутавр 35Б2 (ГОСТ/СТО)","043-00013-0555"
"0000085890","Двутавр 40Б2 (ГОСТ/СТО)","043-00032-0555"
"0000085891","Двутавр 50Б1 (ГОСТ/СТО)","043-00036-0555"
"0000085892","Двутавр 50Б2 (ГОСТ/СТО)","043-00059-0555"
"0000085893","Двутавр 20К1 (ГОСТ/СТО)","043-00021-0555"
"0000085894","Двутавр 20К2 (ГОСТ/СТО)","043-00042-0555"
"0000085895","Двутавр 30К2 (ГОСТ/СТО)","043-00040-0555"
"0000085896","Двутавр 20Б2 (ГОСТ/СТО)","043-00068-0546"
"0000085897","Двутавр 45Ш2 (ГОСТ/СТО)","043-00061-0546"
"0000085898","Двутавр 55Б1 (ГОСТ/СТО)","043-00063-0546"
"0000085899","Двутавр 50Ш2 (ГОСТ/СТО)","043-00044-0546"
"0000085900","Двутавр 70Б1 (ГОСТ/СТО)","043-00056-0546"
"0000085901","Двутавр 70Б2 (ГОСТ/СТО)","043-00057-0546"
"0000085902","Двутавр 18Б1 (ГОСТ/СТО)","043-00065-0546"
"0000085903","Двутавр 60Б2 (ГОСТ/СТО)","043-00048-0546"
"0000085904","Двутавр 40Б1 (ГОСТ/СТО)","043-00031-0546"
"0000085905","Двутавр 25К1 (ГОСТ/СТО)","043-00047-0555"
"0000085906","Двутавр 25К2 (ГОСТ/СТО)","043-00011-0555"
"0000085907","Двутавр 30Ш1 (ГОСТ/СТО)","043-00029-0555"
"0000085908","Двутавр 30Ш2 (ГОСТ/СТО)","043-00030-0555"
"0000085909","Двутавр 16Б1 (ГОСТ/СТО)","043-00010-0545"
"0000085910","Двутавр 60Ш3 (ГОСТ/СТО)","043-00039-0546"
"0000085911","Двутавр 30М (ГОСТ/СТО)","043-00041-0546"
"0000085912","Двутавр 25Б2 (ГОСТ/СТО)","043-00025-0784"
"0000085913","Двутавр 20Б1 (ГОСТ/СТО)","043-00007-0784"
"0000085914","Двутавр 20Ш1 (ГОСТ/СТО)","043-00033-0784"
"0000085915","Двутавр 20Ш1 (ГОСТ/СТО)","043-00033-0550"
