code1c,mdmcodenomen,nomen
ОА-ОА003732,043-00050-0630,"Двутавр 14Б1 ГОСТ 26020 09Г2С-15 дл.6,0"
ОА-ОА004454,043-00015-0784,"Двутавр 36М ГОСТ 19425 С345-6 дл.12,0"
ОА-ОА004455,043-00069-0784,"Двутавр 18 ГОСТ 8239 С345-6 дл.12,0"
ОА-ОА004462,043-00063-0784,"Двутавр 55Б1 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА004463,043-00041-0784,"Двутавр 30М ГОСТ 19425 С345-6 дл.12,0"
ОА-ОА004508,043-00036-0783,"Двутавр 50Б1 СТО АСЧМ 20-93 С345-2 дл.12,0"
ОА-ОА004550,043-00063-0783,"Двутавр 55Б1 СТО АСЧМ 20-93 С345-2 дл.12,0"
ОА-ОА004695,043-00038-0575,"Двутавр 50Ш3 СТО АСЧМ 20-93 С345-3 дл.12,0"
ОА-ОА005139,043-00056-0784,"Двутавр 70Б1 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА005141,043-00047-0784,"Двутавр 25К1 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА005143,043-00059-0784,"Двутавр 50Б2 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА005144,043-00057-0784,"Двутавр 70Б2 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА005145,043-00051-0784,"Двутавр 60Б1 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА005146,043-00038-0784,"Двутавр 50Ш3 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА005261,043-00014-0550,"Двутавр 25Ш1 СТО АСЧМ 20-93 09Г2С-15 дл.12,0"
ОА-ОА005486,043-00055-0784,"Двутавр 55Б2 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА005498,043-00043-0784,"Двутавр 45Б1 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА005499,043-00053-0784,"Двутавр 70Ш2 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА005505,043-00012-0784,"Двутавр 24М ГОСТ 19425 С345-6 дл.12,0"
ОА-ОА005506,043-00004-0784,"Двутавр 45М ГОСТ 19425 С345-6 дл.12,0"
ОА-ОА005555,043-00011-0784,"Двутавр 25К2 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА005606,043-00046-0575,"Двутавр 40К5 СТО АСЧМ 20-93 С345-3 дл.12,0"
ОА-ОА005668,043-00070-0550,"Двутавр 18Б2 СТО АСЧМ 20-93 09Г2С-15 дл.12,0"
ОА-ОА005713,043-00036-0784,"Двутавр 50Б1 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА005943,043-00033-0783,"Двутавр 20Ш1 СТО АСЧМ 20-93 С345-2 дл.12,0"
ОА-ОА005958,043-00033-0790,"Двутавр 20Ш1 СТО АСЧМ 20-93 С345-6 дл.12,8"
ОА-ОА005959,043-00014-0791,"Двутавр 25Ш1 СТО АСЧМ 20-93 С345-6 дл.12,6"
ОА-ОА005960,043-00029-0791,"Двутавр 30Ш1 СТО АСЧМ 20-93 С345-6 дл.12,6"
ОА-ОА005961,043-00017-0791,"Двутавр 35Ш1 СТО АСЧМ 20-93 С345-6 дл.12,6"
ОА-ОА006082,043-00033-0784,"Двутавр 20Ш1 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006083,043-00058-0784,"Двутавр 30Б1 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006084,043-00040-0784,"Двутавр 30К2 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006085,043-00029-0784,"Двутавр 30Ш1 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006086,043-00030-0784,"Двутавр 30Ш2 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006087,043-00031-0784,"Двутавр 40Б1 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006088,043-00027-0784,"Двутавр 40К1 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006089,043-00028-0784,"Двутавр 40К2 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006090,043-00043-0784,"Двутавр 45Б1 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006091,043-00037-0784,"Двутавр 45Б2 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006093,043-00056-0784,"Двутавр 70Б1 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006094,043-00052-0784,"Двутавр 70Ш1 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006095,043-00007-0784,"Двутавр 20Б1 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006096,043-00024-0784,"Двутавр 35К2 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006097,043-00032-0784,"Двутавр 40Б2 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006098,043-00036-0784,"Двутавр 50Б1 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006099,043-00045-0784,"Двутавр 30Б2 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006100,043-00046-0784,"Двутавр 40К5 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006101,043-00002-0784,"Двутавр 40Ш1 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006102,043-00001-0784,"Двутавр 40Ш2 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006103,043-00026-0784,"Двутавр 45Ш1 ГОСТ Р 57837 С345-6 дл.12,0"
ОА-ОА006104,043-00048-0546,"Двутавр 60Б2 ГОСТ 19281 09Г2С-12 дл.12,0"
Ц000026327 ,043-00036-0546,"Двутавр 50Б1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
АФ000003329,043-00013-0546,"Двутавр 35Б2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
Ц0000026915,043-00034-0546,"Двутавр 30К1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
Ц000029698 ,043-00059-0546,"Двутавр 50Б2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
Ц000029699 ,043-00051-0546,"Двутавр 60Б1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
ЦПР00001237,043-00069-0555,"Двутавр 18 ГОСТ 8239 09Г2С-12 дл.12,0 Импорт"
Ц0000027043,043-00025-0555,"Двутавр 25Б2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0 Импорт"
Ц000028743 ,043-00015-0546,"Двутавр 36М ГОСТ 19425 09Г2С-12 дл.12,0"
Ц000028870 ,043-00004-0546,"Двутавр 45М ГОСТ 19425 09Г2С-12 дл.12,0"
Ц000029163 ,043-00031-0555,"Двутавр 40Б1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0 Импорт"
АЦ000000511,043-00022-0550,"Двутавр 25Б1 СТО АСЧМ 20-93 09Г2С-15 дл.12,0"
Ц000029435 ,043-00034-0555,"Двутавр 30К1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0 Импорт"
Ц000029562 ,043-00032-0546,"Двутавр 40Б2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
ЦД000000539,043-00054-0546,"Двутавр 60Ш2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
ЦМ000000338,043-00038-0546,"Двутавр 50Ш3 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
Ц0000026004,043-00047-0546,"Двутавр 25К1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
Ц0000026007,043-00041-0570,"Двутавр 30М ГОСТ 19425 09Г2С-12 дл.11,7"
АЦ000003086,043-00007-0779,"Двутавр 20Б1 СТО АСЧМ 20-93 С345-4 ГОСТ 27772-88 дл.12,0"
АЦ000003089,043-00058-0779,"Двутавр 30Б1 СТО АСЧМ 20-93 С345-4 ГОСТ 27772-88 дл.12,0"
ОА-ОА007255,043-00007-0792,"Двутавр 20Б1 С345-4 СТО АСЧМ 20-93 12,0 (уценка)"
ОА-ОА007410,043-00041-0793,"Двутавр 30М ГОСТ 19425 С345-3 дл.12,0 (уценка)"
ОА-ОА007411,043-00007-0793,"Двутавр 20Б1 СТО АСЧМ 20-93 С345-3 дл.12,0 (уценка)"
ОА-ОА004830,043-00058-0793,"Двутавр 30Б1 СТО АСЧМ 20-93 С345-3 дл.12,0 (уценка)"
ОА-ОА004873,043-00058-0586,"Двутавр 30Б1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0 (уценка)"
ОА-ОА005072,043-00013-0793,"Двутавр 35Б2 СТО АСЧМ 20-93 С345-3 дл.12,0 (уценка)"
ОА-ОА005073,043-00008-0793,"Двутавр 40К3 СТО АСЧМ 20-93 С345-3 дл.12,0 (уценка)"
ОА-ОА013673,043-00007-0794,"Двутавр 20Б1 СТО АСЧМ 20-93 С345-6 дл.12,0 (уценка)"
