code1c,mdmcodenomen,nomen
ОА-ОА001238,043-00039-0783,"Двутавр 60Ш3 СТО АСЧМ 20-93 С345-2 дл.12,0"
ОА-ОА001378,043-00040-0575,"Двутавр 30К2 СТО АСЧМ 20-93 С345-3 дл.12,0"
ОА-ОА001384,043-00041-0575,"Двутавр 30М ГОСТ 19425 С345-3 дл.12,0"
ОА-ОА001386,043-00042-0575,"Двутавр 20К2 СТО АСЧМ 20-93 С345-3 дл.12,0"
ОА-ОА001387,043-00043-0575,"Двутавр 45Б1 СТО АСЧМ 20-93 С345-3 дл.12,0"
ОА-ОА001394,043-00013-0575,"Двутавр 35Б2 СТО АСЧМ 20-93 С345-3 дл.12,0"
ОА-ОА001395,043-00044-0575,"Двутавр 50Ш2 СТО АСЧМ 20-93 С345-3 дл.12,0"
ОА-ОА001396,043-00045-0575,"Двутавр 30Б2 СТО АСЧМ 20-93 С345-3 дл.12,0"
ОА-ОА001397,043-00021-0784,"Двутавр 20К1 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА001398,043-00046-0784,"Двутавр 40К5 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА001420,043-00039-0575,"Двутавр 60Ш3 СТО АСЧМ 20-93 С345-3 дл.12,0"
ОА-ОА001421,043-00046-0783,"Двутавр 40К5 СТО АСЧМ 20-93 С345-2 дл.12,0"
ОА-ОА001429,043-00047-0575,"Двутавр 25К1 СТО АСЧМ 20-93 С345-3 дл.12,0"
ОА-ОА001438,043-00048-0575,"Двутавр 60Б2 СТО АСЧМ 20-93 С345-3 дл.12,0"
ОА-ОА001445,043-00049-0575,"Двутавр 70Ш5 СТО АСЧМ 20-93 С345-3 дл.12,0"
ОА-ОА001452,043-00050-0546,"Двутавр 14Б1 ГОСТ 26020 09Г2С-12 дл.12,0"
ОА-ОА001508,043-00015-0575,"Двутавр 36М ГОСТ 19425 С345-3 дл.12,0"
ОА-ОА001509,043-00019-0783,"Двутавр 60Ш4 СТО АСЧМ 20-93 С345-2 дл.12,0"
ОА-ОА001510,043-00051-0575,"Двутавр 60Б1 СТО АСЧМ 20-93 С345-3 дл.12,0"
ОА-ОА001515,043-00003-0783,"Двутавр 50Ш4 СТО АСЧМ 20-93 С345-2 дл.12,0"
ОА-ОА001517,043-00049-0783,"Двутавр 70Ш5 СТО АСЧМ 20-93 С345-2 дл.12,0"
ОА-ОА001540,043-00028-0575,"Двутавр 40К2 СТО АСЧМ 20-93 С345-3 дл.12,0"
ОА-ОА001605,043-00002-0783,"Двутавр 40Ш1 СТО АСЧМ 20-93 С345-2 дл.12,0"
ОА-ОА001610,043-00052-0575,"Двутавр 70Ш1 СТО АСЧМ 20-93 С345-3 дл.12,0"
